Symbol,Last,Chg%,Color,source_status
AAOI,121.2,-12.81,,recovered_inference
AMAT,608.2899,-6.55,,recovered_inference
AMD,519.5,-3.95,,recovered_inference
ASML,1777.9,-3.53,,recovered_inference
AXTI,59.6535,-8.27,,recovered_inference
CBRS,204.3108,-7.66,,recovered_inference
DRAM,61.2,-7.09,,recovered_inference
IREN,39.1999,-9.51,,recovered_inference
LITE,725.0021,-9.51,,recovered_inference
LRCX,355.2,-9.22,,recovered_inference
MRVL,246.0547,-9.56,,recovered_inference
MU,976.63,-5.39,,recovered_inference
NVDA,194.44,-1.59,,recovered_inference
ONTO,305,-13.32,,recovered_inference
SMH,594.2175,-4.23,,recovered_inference
SNDK,1762.0106,-13.3,,recovered_inference
SOXL,182.92,-15.96,,recovered_inference
SOXX,569.5,-5.04,,recovered_inference
STX,824.5231,-9.91,,recovered_inference
TER,375.2396,-12.19,,recovered_inference
TSEM,217.5,-11.39,,recovered_inference
TSM,437.64,-1.51,,recovered_inference
WDC,543.3,-9.2,,recovered_inference
